Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-May-2019,2.30,2.34,2.21,2.28,2.258545917449997482,139043,238,314035.00,85999,61.85,0.13,-0.02
9-May-2019,2.32,2.42,2.26,2.31,2.327969167801191034,347429,259,808804.00,227180,65.39,0.16,-0.01
8-May-2019,2.52,2.52,2.30,2.37,2.391265455169286948,326428,278,780576.00,215429,66.00,0.22,-0.15
7-May-2019,2.65,2.65,2.45,2.47,2.535610105381131018,321215,224,814476.00,237767,74.02,0.20,-0.18
6-May-2019,2.55,2.65,2.55,2.62,2.595964092564659136,271810,187,705609.00,153685,56.54,0.10,0.07
3-May-2019,2.57,2.67,2.56,2.63,2.609327035949099205,181451,199,473465.00,130204,71.76,0.11,0.06
2-May-2019,2.75,2.75,2.60,2.60,2.622841108593550710,199929,152,524382.00,140334,70.19,0.15,-0.15
30-April-2019,2.80,2.99,2.58,2.64,2.676129960890521870,211202,229,565204.00,101748,48.18,0.41,-0.16
26-April-2019,2.75,2.75,2.67,2.71,2.713361471394682522,129836,160,352292.00,47872,36.87,0.08,-0.04
25-April-2019,2.71,2.74,2.66,2.70,2.707051696386702660,157806,143,427189.00,104743,66.37,0.08,-0.01
24-April-2019,2.78,2.78,2.70,2.72,2.705500425804347432,165569,133,447947.00,136442,82.41,0.08,-0.06
23-April-2019,2.77,2.78,2.70,2.71,2.720592784036622835,145483,97,395800.00,104667,71.94,0.08,-0.06
22-April-2019,2.70,2.77,2.70,2.73,2.733403395842227987,152245,100,416147.00,117635,77.27,0.07,0.03
18-April-2019,2.79,2.79,2.70,2.73,2.727730353433505678,263812,1682,719608.00,164245,62.26,0.09,-0.06
16-April-2019,2.75,2.80,2.74,2.75,2.755181972637038361,55915,94,154056.00,41027,73.37,0.06,0.00
15-April-2019,2.75,2.80,2.72,2.74,2.743430962343096234,59750,127,163920.00,46701,78.16,0.08,-0.01
12-April-2019,2.78,2.79,2.72,2.77,2.754461027074981190,267147,109,735846.00,232247,86.94,0.07,-0.01
11-April-2019,2.82,2.82,2.75,2.76,2.762430791451574076,112161,77,309837.00,84095,74.98,0.07,-0.06
10-April-2019,2.77,2.83,2.74,2.76,2.767876923923737967,145341,113,402286.00,125120,86.09,0.09,-0.01
9-April-2019,2.90,2.90,2.76,2.77,2.781282182540877472,166045,183,461818.00,67817,40.84,0.14,-0.13
8-April-2019,2.87,2.93,2.81,2.83,2.839388998541148202,233060,148,661748.00,160111,68.70,0.12,-0.04
5-April-2019,2.94,2.97,2.86,2.91,2.894010957868883430,164083,123,474858.00,96750,58.96,0.11,-0.03
4-April-2019,2.98,3.03,2.91,2.95,2.966397050286562690,284231,141,843142.00,174961,61.56,0.12,-0.03
3-April-2019,3.14,3.19,2.95,3.01,3.029707595415623222,777074,1300,2354307.00,377655,48.60,0.24,-0.13
2-April-2019,2.75,3.25,2.50,3.04,2.987322285854900421,5193523,1711,15514727.00,1176668,22.66,0.75,0.29
1-April-2019,2.71,2.78,2.70,2.71,2.723677025876429867,432208,155,1177195.00,308456,71.37,0.08,0.00
