Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2019,768.00,789.90,751.90,755.10,770.306666092604438321,162584,4252,125239539.00,25398,15.62,38.00,-12.90
27-June-2019,768.00,774.40,754.20,763.50,765.422686506906595149,69354,2247,53085125.00,11918,17.18,20.20,-4.50
26-June-2019,755.00,773.20,751.00,768.30,765.361420830141572332,70494,2533,53953388.00,19475,27.63,22.20,13.30
25-June-2019,732.70,757.50,731.30,753.65,746.613544384893041861,63997,1852,47781027.00,18033,28.18,26.20,20.95
24-June-2019,729.00,742.45,725.00,732.95,734.155445787735720328,109929,3166,80704974.00,19729,17.95,17.45,3.95
21-June-2019,715.10,726.00,708.70,712.40,716.420917661847894406,79550,1577,56991284.00,11354,14.27,17.30,-2.70
20-June-2019,705.00,715.75,703.45,713.75,710.639432660362892921,39130,1115,27807321.00,13062,33.38,12.30,8.75
19-June-2019,710.00,711.50,697.30,703.45,704.763416490206458443,60448,1424,42601539.00,17611,29.13,14.20,-6.55
18-June-2019,708.00,713.70,705.10,708.75,709.523780355984722922,55508,1192,39384246.00,14736,26.55,8.60,0.75
17-June-2019,722.25,722.25,704.80,706.80,711.191281250560849979,55719,1694,39626867.00,17615,31.61,17.45,-15.45
14-June-2019,720.00,724.80,710.10,722.25,719.171069733273056057,70784,1594,50905805.00,17666,24.96,14.70,2.25
13-June-2019,726.30,729.00,705.15,719.30,715.762489359301765073,97503,2464,69788990.00,21364,21.91,23.85,-7.00
12-June-2019,734.00,734.00,722.35,726.25,726.005183585313174946,34725,922,25210530.00,9239,26.61,11.65,-7.75
11-June-2019,727.55,732.65,722.35,728.60,728.029606138107416879,48875,1392,35582447.00,16452,33.66,10.30,1.05
10-June-2019,743.00,743.00,722.05,726.40,726.285488148346113520,48643,1469,35328705.00,14609,30.03,20.95,-16.60
